MARKA,AD,VARYANT,BARKOD,KATEGORİ,MALİYET,FİYAT,ADET,KRİTİK,NOT
Apple,Silikon Kılıf,iPhone 17 Pro Max,8690000010017,Kılıf,240,649,18,6,MagSafe uyumlu
Apple,Silikon Kılıf,iPhone 17 Pro,8690000010024,Kılıf,240,649,11,6,
Spigen,Şeffaf Kılıf,iPhone 17 Pro Max,8690000010031,Kılıf,95,299,26,8,
Spigen,Şeffaf Kılıf,Galaxy S26 Ultra,8690000010048,Kılıf,95,299,14,8,
Nano,Ekran Koruyucu,iPhone 17 Serisi,8690000010055,Ekran Koruyucu,45,249,42,12,Kırılmaz cam
Nano,Ekran Koruyucu,Galaxy S26 Serisi,8690000010062,Ekran Koruyucu,45,249,9,12,
Anker,20W Hızlı Şarj Adaptörü,USB-C,8690000010079,Şarj,320,749,7,4,
Anker,45W Hızlı Şarj Adaptörü,USB-C,8690000010086,Şarj,540,1149,3,4,
Anker,USB-C Kablo,1 metre,8690000010093,Kablo,110,299,31,10,
Apple,Lightning Kablo,1 metre,8690000010109,Kablo,180,449,5,8,
Apple,AirPods Pro 3,,8690000010116,Kulaklık,7850,9990,4,2,
Samsung,Galaxy Buds 4 Pro,,8690000010123,Kulaklık,4900,6450,2,2,
Anker,PowerBank 20000mAh,,8690000010130,Powerbank,890,1690,6,3,
Baseus,Araç Tutucu,Manyetik,8690000010147,Araç Aksesuarı,140,399,12,5,
Baseus,Araç Şarjı,45W çift port,8690000010154,Araç Aksesuarı,210,549,8,5,
