CİHAZ ADI,HAFIZA,GARANTİ,K/F,IMEI,KIMDEN ALINDI,ALIŞ TARİHİ,SATIŞ TARİHİ,KİME SATILDI,MALİYET,SATIŞ FİYATI,RENK,RAF
GALAXY S26 ULTRA 512,512,24 AY,VAR,,KAVASTEK,28.07.2026,,,89500,,Titanyum Siyah,A-1
GALAXY S26 ULTRA 256,256,24 AY,VAR,,KAVASTEK,28.07.2026,,,79500,,Titanyum Gri,A-1
GALAXY S26 PLUS 256,256,24 AY,VAR,,ÖZTÜRK İLETİŞİM,21.07.2026,,,61000,,Gümüş,A-2
GALAXY S26 256,256,24 AY,VAR,,ÖZTÜRK İLETİŞİM,21.07.2026,26.07.2026,ÇALKAN GSM,52000,55500,Mavi,A-2
GALAXY S25 ULTRA 256,256,18 AY,VAR,,MÜŞTERİ,14.07.2026,,,54000,,Siyah,A-3
GALAXY S25 128,128,14 AY,VAR,,MÜŞTERİ ALİ KAYA,09.07.2026,,,36500,,Yeşil,A-3
GALAXY A56 256,256,24 AY,VAR,,HEPSİBURADA,05.07.2026,,,21500,,Zeytin,B-1
GALAXY A56 128,128,24 AY,VAR,,HEPSİBURADA,05.07.2026,12.07.2026,YILDIZ MOBİLE,18900,20500,Gri,B-1
GALAXY A36 128,128,24 AY,VAR,,TEKNOSA,28.06.2026,,,15750,,Siyah,B-2
GALAXY A16 128,128,24 AY,VAR,,TEKNOSA,28.06.2026,03.07.2026,SEMİH KARANFİL,8900,10250,Mavi,B-2
GALAXY Z FLIP 7 256,256,24 AY,VAR,,BAYER TEKNOLOJİ,20.06.2026,,,64500,,Lavanta,A-4
GALAXY TAB S10 128,128,20 AY,VAR,,MÜŞTERİ,15.06.2026,,,27500,,Gri,C-1
